iter,purity,nmi,ari,L,Lc,Lr
0,0.85802,0.7005,,0,0,0
150,0.84777,0.69114,,0.18459635972976685,0.006472421810030937,0.18394911289215088
300,0.83649,0.67567,,0.17921562492847443,0.03250187635421753,0.17596544325351715
450,0.83188,0.65822,,0.15783758461475372,0.09149665385484695,0.1486879140138626
600,0.83598,0.66276,,0.17447209358215332,0.12041494250297546,0.16243059933185577
750,0.84111,0.69156,,0.17608627676963806,0.15618771314620972,0.1604675054550171
900,0.85238,0.68873,,0.15917402505874634,0.11422839760780334,0.14775118231773376
1050,0.86212,0.71157,,0.2037142664194107,0.20752501487731934,0.18296176195144653
1200,0.87237,0.70253,,0.162375345826149,0.12175477296113968,0.15019987523555756
1350,0.86725,0.68802,,0.17457348108291626,0.1450776904821396,0.16006571054458618
1500,0.88467,0.716,,0.1747652143239975,0.16187314689159393,0.15857790410518646
1650,0.86263,0.68453,,0.1576792597770691,0.15271592140197754,0.14240767061710358
1800,0.88006,0.70996,,0.21691995859146118,0.1484973430633545,0.2020702213048935
1950,0.88929,0.71259,,0.1429218202829361,0.1168442890048027,0.13123738765716553
2100,0.8775,0.69418,,0.16885176301002502,0.13979819416999817,0.15487194061279297
2250,0.88724,0.71461,,0.1935739368200302,0.15906870365142822,0.1776670664548874
2400,0.88877,0.74047,,0.2074725478887558,0.1590372622013092,0.19156882166862488
2550,0.89134,0.73118,,0.17303846776485443,0.11290562152862549,0.16174790263175964
2700,0.9144,0.75119,,0.15603980422019958,0.22474735975265503,0.13356506824493408
2850,0.90415,0.74232,,0.1883508861064911,0.10552643984556198,0.17779824137687683
3000,0.89646,0.72734,,0.17066964507102966,0.12025533616542816,0.15864410996437073
3150,0.89903,0.74096,,0.15536192059516907,0.13645973801612854,0.14171594381332397
3300,0.90005,0.7315,,0.23479589819908142,0.12499982118606567,0.22229591012001038
3450,0.9103,0.7488,,0.20230406522750854,0.14807602763175964,0.18749646842479706
3600,0.91697,0.74287,,0.1139623299241066,0.09653148800134659,0.10430917888879776
3750,0.91748,0.73936,,0.15374654531478882,0.11716137081384659,0.14203040301799774
3900,0.90108,0.73818,,0.2121250033378601,0.1327848881483078,0.19884651899337769
4050,0.90313,0.75197,,0.20659153163433075,0.16020464897155762,0.19057106971740723
4200,0.89851,0.74382,,0.1640886664390564,0.11054787784814835,0.15303388237953186
4350,0.9103,0.74816,,0.22888460755348206,0.11939413100481033,0.21694520115852356
4500,0.90774,0.73757,,0.18099696934223175,0.11564096808433533,0.1694328784942627
4650,0.90466,0.73758,,0.17779992520809174,0.12319913506507874,0.16548001766204834
4800,0.90723,0.75408,,0.1689097285270691,0.11942356824874878,0.1569673717021942
4950,0.90466,0.74717,,0.20345015823841095,0.08828345686197281,0.19462181627750397
5100,0.91338,0.74708,,0.14029082655906677,0.09257303178310394,0.1310335248708725
5250,0.91645,0.75419,,0.1698312610387802,0.10962264984846115,0.15886899828910828
5400,0.92209,0.75257,,0.13198505342006683,0.08918295055627823,0.12306675314903259
5550,0.92773,0.77026,,0.1935059130191803,0.15407530963420868,0.1780983805656433
5700,0.93132,0.772,,0.2166489064693451,0.2307828664779663,0.19357061386108398
5850,0.92465,0.76572,,0.14234675467014313,0.07816928625106812,0.13452982902526855
6000,0.92517,0.76429,,0.1541241556406021,0.08205468207597733,0.14591868221759796
6150,0.92312,0.75806,,0.14977863430976868,0.11443758010864258,0.13833487033843994
6300,0.9308,0.77238,,0.17972098290920258,0.10972337424755096,0.1687486469745636
6450,0.93183,0.78012,,0.16942942142486572,0.1262492537498474,0.15680450201034546
6600,0.92158,0.76775,,0.20208728313446045,0.09504163265228271,0.1925831139087677
6750,0.93593,0.77869,,0.15157252550125122,0.19180256128311157,0.1323922723531723
6900,0.93542,0.77858,,0.13740186393260956,0.08526282757520676,0.12887558341026306
7050,0.92927,0.76976,,0.19526344537734985,0.14611148834228516,0.18065229058265686
7200,0.92465,0.7687,,0.18516699969768524,0.11869685351848602,0.17329731583595276
7350,0.92568,0.76349,,0.2730299234390259,0.13589292764663696,0.2594406306743622
7500,0.93234,0.77591,,0.20835493505001068,0.11764305084943771,0.1965906322002411
7650,0.94106,0.78441,,0.11697714030742645,0.08078602701425552,0.10889853537082672
7800,0.94054,0.7774,,0.1724092662334442,0.11222714930772781,0.16118654608726501
7950,0.91799,0.76563,,0.19654349982738495,0.0880439430475235,0.18773910403251648
8100,0.91902,0.76837,,0.21160516142845154,0.16778002679347992,0.1948271542787552
8250,0.92465,0.77112,,0.17854724824428558,0.08705536276102066,0.1698417067527771
8400,0.93234,0.77215,,0.21224136650562286,0.3222298324108124,0.1800183802843094
8550,0.93491,0.77487,,0.17286333441734314,0.10201990604400635,0.1626613438129425
8700,0.93183,0.77372,,0.16885630786418915,0.10359573364257812,0.15849673748016357
8850,0.93644,0.78338,,0.2078692764043808,0.13665804266929626,0.1942034661769867
9000,0.9308,0.7765,,0.21263980865478516,0.12198939919471741,0.20044086873531342
9150,0.93183,0.77689,,0.1938384473323822,0.14262224733829498,0.17957621812820435
9300,0.93747,0.7826,,0.20445746183395386,0.12677639722824097,0.19177982211112976
9450,0.93798,0.77597,,0.16939644515514374,0.07466255128383636,0.16193018853664398
9600,0.94516,0.79234,,0.18250307440757751,0.12422577291727066,0.1700804978609085
9750,0.95131,0.79955,,0.16656070947647095,0.1906316578388214,0.14749754965305328
9900,0.94413,0.79317,,0.1873074769973755,0.10392609983682632,0.17691487073898315
10050,0.94516,0.79271,,0.16433101892471313,0.08321727812290192,0.15600928664207458
10200,0.94259,0.78597,,0.14811593294143677,0.08573705703020096,0.13954222202301025
10350,0.94772,0.79217,,0.1861548125743866,0.10833258926868439,0.1753215491771698
10500,0.94567,0.79482,,0.17155654728412628,0.0976773202419281,0.16178882122039795
10650,0.93183,0.77791,,0.244990736246109,0.15576434135437012,0.22941429913043976
